"title","subtitle","lat","lon","height_offset","indoor","indoor_id","floor_id","tags","user_data","image_url","web","description"
"River Island","",56.4595311,-2.9740337,0,true,"EIM-e16a94b1-f64f-41ed-a3c6-8397d9cfe607",1,"general",{},"https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/River_Island_at_Castlepoint.jpg/800px-River_Island_at_Castlepoint.jpg","https://www.riverisland.com/","On-trend casual fashions for men and women; some branches include children's clothing."
"Regis Hair","",56.4601898,-2.9713989,0,true,"EIM-e16a94b1-f64f-41ed-a3c6-8397d9cfe607",1,"general",{},"https://c2.staticflickr.com/4/3152/2578232666_01c2a89b96_z.jpg?zz=1","https://www.regissalons.co.uk/","Regis Salons have over 130 UK Salons with qualified hairstylists and beauty therapists."
"Debenhams","",56.4591056,-2.9744882,0,true,"EIM-e16a94b1-f64f-41ed-a3c6-8397d9cfe607",1,"general","{""address"":""Monday\n9am–6pm\n\nTuesday\n9:30am–6pm\n\nWednesday\n9am–6pm\n\nThursday\n9am–7:30pm\n\nFriday\n9am–6pm\n\nSaturday\n9am–6pm\n\nSunday\n11am–5:30pm""}","https://s0.geograph.org.uk/geophotos/04/96/88/4968809_8608473e.jpg","https://www.debenhams.com/","Department store chain selling own-brand and international fashion, beauty and homeware products."
"Millie's Cookies","",56.459707,-2.9732022,0,true,"EIM-e16a94b1-f64f-41ed-a3c6-8397d9cfe607",1,"general",{},"https://c1.staticflickr.com/1/23/97652960_51e7c7bf9f.jpg","https://www.milliescookies.com/","Millie’s Cookies design and bake delicious, hand-iced, personalised cookies ideal for birthday gifts and special occasions; or just as a treat for yourself."
"Stormfront","",56.4601271,-2.9725667,0,true,"EIM-e16a94b1-f64f-41ed-a3c6-8397d9cfe607",1,"general",{},"","https://www.stormfront.co.uk/","Stormfront are your local Apple experts. We offer the full range of Apple products, as well as accessories to suit your every need."
"Virgin Media","",56.4600619,-2.9726652,0,true,"EIM-e16a94b1-f64f-41ed-a3c6-8397d9cfe607",0,"general",{},"http://s0.geograph.org.uk/geophotos/01/70/04/1700440_e77e9730.jpg","https://www.virginmedia.com/shop.html?buspart=uk_ps_a_cable_GOOGLE_purchase_Brand_Core_LT_Exact_Brand_Core_Shop_Exact_virgin+media+shop&CMP=DFA:1882230:115988815:289014244:0&gclid=EAIaIQobChMIu4yD9vvT3QIVR7DtCh31jAN5EAAYASAAEgK9xPD_BwE&gclsrc=aw.ds","Telecommunications chain providing broadband internet, TV and telephone services, plus smartphones."
"Paperchase","",56.4598249,-2.9731529,0,true,"EIM-e16a94b1-f64f-41ed-a3c6-8397d9cfe607",0,"general",{},"https://c1.staticflickr.com/3/2610/3991917384_e09864342a_b.jpg","https://www.paperchase.com/en_gb","Chain retailer selling contemporary cards, gifts and paper products; some within department stores."
"Tiger","",56.4599115,-2.9730068,0,true,"EIM-e16a94b1-f64f-41ed-a3c6-8397d9cfe607",0,"general",{},"https://s0.geograph.org.uk/geophotos/04/02/84/4028416_8a572beb.jpg","https://uk.flyingtiger.com/en-GB","Flying Tiger Copenhagen is a Danish variety store or price point retailer chain."
"USC","",56.4593871,-2.9743791,0,true,"EIM-e16a94b1-f64f-41ed-a3c6-8397d9cfe607",1,"general",{},"https://s3-eu-west-1.amazonaws.com/eu-static.unionsquareaberdeen.com/Live/ResizedImages/store-fronts/2febu4hqfwu/Gallery_Image/USC.jpg","https://www.usc.co.uk/","Fashion and accessories for men and women, from brands including Diesel, G-Star, Replay, Henri Lloyd, Lacoste, Miss Sixty, Firetrap, Stark, Soviet, Ted Baker and Vila."
"Holland & Barrett","",56.4598574,-2.9730776,0,true,"EIM-e16a94b1-f64f-41ed-a3c6-8397d9cfe607",0,"general",{},"https://c1.staticflickr.com/1/533/19264837015_53e2194684_b.jpg","https://www.hollandandbarrett.com/","Holland & Barrett is a chain of health food shops with over 1,300 stores in 16 countries."
